Accession,type,r_stele,radius,CF,OneC,nX,X_size,aerenchyma,TCA,kr1,kr2,kr3,Kr1,Kr2,Kr3,Kx,Kr1_pred,kr1_pred,Kr2_pred,kr2_pred,Kr3_pred,kr3_pred,Kx_pred
PI_503560,burton_mex,0.279259596,0.527449372,9.1,0.027273602,9.215566677,0.075263769,0.0259,0.629,0.000154243,6.04E-05,5.37E-05,0.000511169,0.000200169,0.000178012,2.745039919,0.000511667,0.000146861,0.000204103,5.86E-05,0.000182239,5.23E-05,2.094198768
PI_503574,burton_mex,0.3033011,0.573423153,10.1,0.026744758,10.00893629,0.093006982,0.0586,0.744,0.00014792,5.88E-05,5.24E-05,0.000532945,0.000211711,0.000188736,8.391578928,0.000512023,0.000146963,0.000204127,5.86E-05,0.000182239,5.23E-05,6.302385616
PI_515463,burton_mex,0.383897743,0.690066366,12.5,0.02449349,12.66862553,0.099748852,0.0137,1.033,0.000152456,6.09E-05,5.41E-05,0.00066102,0.000264175,0.000234494,16.15535619,0.000523378,0.000150222,0.000208325,5.98E-05,0.000185564,5.33E-05,8.186938918
PI_583894,burton_mex,0.25669076,0.502097032,8.6,0.028535613,8.470795091,0.078502755,0.1131,0.585,0.00013996,5.60E-05,5.02E-05,0.000441542,0.000176798,0.000158414,2.928942653,0.000506649,0.000145421,0.000203275,5.83E-05,0.000181592,5.21E-05,4.87225136
PI_586644,burton_mex,0.310560615,0.594945874,9.3,0.03057906,10.24850029,0.095232751,0.1617,0.809,0.000137663,5.70E-05,5.11E-05,0.000514604,0.000213184,0.000190986,8.600041436,0.000494787,0.000142016,0.000201285,5.78E-05,0.000179742,5.16E-05,7.996922916
PI_620780,burton_mex,0.287127603,0.552214515,8.8,0.030123513,9.475210906,0.086747033,0.1149,0.699,0.000139026,5.67E-05,5.08E-05,0.000482373,0.000196585,0.00017623,4.893661221,0.000508974,0.000146088,0.000203578,5.84E-05,0.000181778,5.22E-05,4.245200599
PI_620796,burton_mex,0.281530037,0.526543361,10.3,0.023787701,9.290491217,0.098642687,0.022,0.623,0.00015928,6.10E-05,5.41E-05,0.000526957,0.000201864,0.000178843,10.77174895,0.000528977,0.000151829,0.000209032,6.00E-05,0.000186254,5.35E-05,6.032728798
PI_620801,burton_mex,0.316147599,0.589841255,11.2,0.024436934,10.43287076,0.084133149,0.0155,0.779,0.00015177,5.95E-05,5.29E-05,0.000562473,0.000220342,0.000196001,5.590262895,0.000526349,0.000151075,0.000208662,5.99E-05,0.000185992,5.34E-05,3.225772657
PI_620804,burton_mex,0.302775903,0.541445662,9.9,0.024108057,9.991604787,0.091011048,0.0074,0.633,0.000163204,6.28E-05,5.55E-05,0.000555222,0.000213495,0.000188697,8.242719032,0.000529455,0.000151967,0.000209153,6.00E-05,0.000186361,5.35E-05,6.483939236
PI_620829,burton_mex,0.408794191,0.791073471,13.3,0.028742803,13.49020829,0.1050845,0.0539,1.441,0.000125511,5.39E-05,4.86E-05,0.000623849,0.000267917,0.000241603,18.80620213,0.000506329,0.000145329,0.0002031,5.83E-05,0.0001814,5.21E-05,5.290517222
PI_620839,burton_mex,0.244626774,0.470346012,9.4,0.024012685,8.072683545,0.085177524,0.0406,0.506,0.000160189,6.04E-05,5.36E-05,0.000473403,0.000178528,0.000158306,4.886538971,0.000512947,0.000147228,0.00020437,5.87E-05,0.000182574,5.24E-05,4.157159038
PI_620843,burton_mex,0.290981837,0.557378192,11,0.02421785,9.602400636,0.080605224,0.067,0.709,0.000146563,5.75E-05,5.13E-05,0.000513279,0.00020128,0.000179516,4.623102433,0.000510793,0.00014661,0.000204135,5.86E-05,0.000182313,5.23E-05,4.692748572
PI_620849,burton_mex,0.344109398,0.602125369,10.7,0.024113642,11.35561013,0.105357976,0.0824,0.767,0.000155647,6.15E-05,5.45E-05,0.000588852,0.000232675,0.000206,18.55049115,0.000531935,0.000152678,0.00021149,6.07E-05,0.000188055,5.40E-05,9.401296353
